configuration,boarding_method,bag_percent,n_groups,steps
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,107
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,123
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,107
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,106
"3,3",front-to-back,0.0,1,124
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,108
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,122
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,107
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,121
"3,3",front-to-back,0.0,1,108
"3,3",front-to-back,0.0,1,108
"3,3",front-to-back,0.0,1,110
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,107
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,119
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,123
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,124
"3,3",front-to-back,0.0,1,109
"3,3",front-to-back,0.0,1,118
"3,3",front-to-back,0.0,1,117
"3,3",front-to-back,0.0,1,115
"3,3",front-to-back,0.0,1,106
"3,3",front-to-back,0.0,1,120
"3,3",front-to-back,0.0,1,112
"3,3",front-to-back,0.0,1,114
"3,3",front-to-back,0.0,1,116
"3,3",front-to-back,0.0,1,111
"3,3",front-to-back,0.0,1,113
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,133
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,132
"3,3",front-to-back,0.0,3,133
"3,3",front-to-back,0.0,3,116
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,121
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,133
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,132
"3,3",front-to-back,0.0,3,121
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,114
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,120
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,132
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,120
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,120
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,132
"3,3",front-to-back,0.0,3,117
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,117
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,134
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,131
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,127
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,126
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,120
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,123
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,117
"3,3",front-to-back,0.0,3,119
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,121
"3,3",front-to-back,0.0,3,128
"3,3",front-to-back,0.0,3,124
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,130
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,129
"3,3",front-to-back,0.0,3,122
"3,3",front-to-back,0.0,3,125
"3,3",front-to-back,0.0,3,134
